mcsteps,1,2,3,4,5,6,7,8,9,10
0,10.0,1072.0,972.0,109.0,25.0,0.0,121.0,0.0,0.0,29.0
10000,10.0,988.0,812.0,109.0,45.0,0.0,237.0,6.0,1.0,29.0
20000,10.0,908.0,687.0,108.0,68.0,0.0,298.0,26.0,9.0,30.0
30000,10.0,842.0,578.0,108.0,81.0,0.0,327.0,41.0,30.0,30.0
40000,10.0,780.0,493.0,108.0,95.0,1.0,355.0,28.0,46.0,30.0
50000,10.0,700.0,398.0,108.0,113.0,1.0,372.0,41.0,34.0,30.0
60000,10.0,635.0,331.0,107.0,128.0,1.0,363.0,45.0,50.0,31.0
70000,10.0,577.0,279.0,107.0,133.0,1.0,365.0,33.0,99.0,31.0
80000,10.0,500.0,237.0,107.0,132.0,1.0,345.0,44.0,88.0,31.0
90000,10.0,449.0,197.0,107.0,141.0,1.0,317.0,39.0,94.0,31.0
100000,10.0,447.0,249.0,116.0,137.0,1.0,315.0,41.0,103.0,35.0
110000,10.0,404.0,212.0,116.0,145.0,1.0,298.0,37.0,98.0,35.0
120000,10.0,377.0,179.0,115.0,138.0,1.0,283.0,39.0,139.0,36.0
130000,10.0,342.0,146.0,115.0,131.0,1.0,264.0,37.0,138.0,36.0
140000,10.0,311.0,121.0,115.0,131.0,1.0,244.0,32.0,133.0,36.0
150000,10.0,283.0,104.0,115.0,127.0,1.0,213.0,38.0,130.0,36.0
160000,10.0,251.0,77.0,115.0,119.0,0.0,198.0,27.0,128.0,36.0
170000,10.0,217.0,64.0,114.0,118.0,0.0,181.0,21.0,163.0,37.0
180000,10.0,187.0,47.0,114.0,112.0,0.0,164.0,20.0,146.0,37.0
190000,10.0,159.0,35.0,114.0,103.0,0.0,148.0,19.0,131.0,37.0
200000,10.0,165.0,111.0,124.0,80.0,0.0,146.0,18.0,113.0,40.0
210000,10.0,147.0,90.0,123.0,85.0,0.0,135.0,20.0,103.0,41.0
220000,10.0,132.0,72.0,123.0,83.0,0.0,122.0,17.0,133.0,41.0
230000,10.0,122.0,55.0,123.0,75.0,0.0,119.0,11.0,127.0,41.0
240000,10.0,104.0,48.0,123.0,77.0,0.0,107.0,13.0,118.0,41.0
250000,10.0,92.0,42.0,122.0,76.0,0.0,97.0,13.0,107.0,42.0
260000,10.0,79.0,32.0,120.0,75.0,0.0,89.0,12.0,101.0,44.0
270000,10.0,70.0,24.0,119.0,64.0,1.0,83.0,7.0,120.0,45.0
280000,10.0,62.0,19.0,119.0,51.0,0.0,70.0,12.0,103.0,45.0
290000,10.0,53.0,16.0,119.0,42.0,0.0,60.0,10.0,96.0,45.0
300000,10.0,60.0,92.0,128.0,39.0,0.0,74.0,8.0,94.0,49.0
310000,10.0,57.0,68.0,128.0,36.0,0.0,79.0,13.0,106.0,49.0
