meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,8.4468227e-10,0.0,0.0,0.0,0.0,0.0,2.393434e-10,0.0,0.0,0.0,0.0,0.0
10000,1.0956884e-09,2.0054295e-12,0.0,0.0,3.6056238e-12,0.0,4.303289e-10,6.71958e-11,0.0,0.0,1.2181058e-10,0.0
20000,1.2604814e-09,5.9451545e-12,9.938414e-13,2.0608535e-13,1.0954869e-11,0.0,5.1874915e-10,1.1529735e-10,5.859831e-11,1.2172152e-11,2.0978402e-10,0.0
30000,1.384058e-09,1.0465655e-11,2.9209946e-12,6.06739e-13,1.951902e-11,1.6811041e-12,5.8322247e-10,1.5223327e-10,1.0052081e-10,2.0880405e-11,2.7761932e-10,7.086093e-11
40000,1.5015847e-09,1.5669042e-11,5.8176844e-12,1.2080567e-12,2.9625007e-11,3.351786e-12,6.261552e-10,1.8624627e-10,1.4177977e-10,2.9450803e-11,3.3961872e-10,9.99599e-11
50000,1.6176703e-09,2.3139093e-11,7.816353e-12,1.622122e-12,4.3276844e-11,7.6298134e-12,6.605246e-10,2.2301187e-10,1.6424166e-10,3.4116647e-11,4.103868e-10,1.5037219e-10
60000,1.7088944e-09,2.8341086e-11,9.731133e-12,2.0137388e-12,5.2849305e-11,8.493394e-12,7.0561845e-10,2.4872943e-10,1.829471e-10,3.7999486e-11,4.5293924e-10,1.5794199e-10
70000,1.8166747e-09,3.762882e-11,1.3497694e-11,2.8281383e-12,7.1813284e-11,7.246088e-12,7.26323e-10,2.8493288e-10,2.1242157e-10,4.4824495e-11,5.3465454e-10,1.4278537e-10
80000,1.9101984e-09,4.1687577e-11,2.0426e-11,4.24697e-12,7.8801604e-11,1.9862717e-11,7.5330153e-10,2.9681582e-10,2.6360075e-10,5.5045333e-11,5.4563876e-10,2.3994962e-10
90000,2.016457e-09,4.0257034e-11,8.827151e-12,1.8317416e-12,7.093861e-11,3.9326157e-11,7.6357387e-10,2.8839636e-10,1.700738e-10,3.6025228e-11,5.268472e-10,3.363504e-10
100000,2.109981e-09,4.5409912e-11,1.3739564e-11,2.8562602e-12,7.9894154e-11,3.4773184e-11,7.827033e-10,3.0613054e-10,2.1331471e-10,4.498043e-11,5.5530885e-10,3.1480288e-10
110000,2.1979225e-09,4.3095888e-11,9.8365534e-12,2.1765662e-12,7.4270486e-11,2.8220565e-11,8.043155e-10,2.945273e-10,1.7323021e-10,3.8581405e-11,5.376541e-10,2.7702315e-10
120000,2.285912e-09,4.254114e-11,8.0332425e-12,1.644371e-12,7.343594e-11,2.5260547e-11,8.217812e-10,2.890616e-10,1.5741326e-10,3.365648e-11,5.3629123e-10,2.596293e-10
130000,2.3737636e-09,4.1538172e-11,9.941404e-12,2.0444352e-12,6.9784456e-11,3.440576e-11,8.4172064e-10,2.8204664e-10,1.7746467e-10,3.773883e-11,5.205886e-10,3.02126e-10
140000,2.474101e-09,4.7454707e-11,7.750208e-12,1.7281877e-12,7.94334e-11,2.8805259e-11,8.4320884e-10,3.0051042e-10,1.4915698e-10,3.3785152e-11,5.563579e-10,2.7173086e-10
150000,2.5600473e-09,4.0789618e-11,1.0922028e-11,2.3916713e-12,6.669549e-11,3.8165533e-11,8.622906e-10,2.7240674e-10,1.8133423e-10,4.0222343e-11,5.0545385e-10,3.194989e-10
