mcsteps,1,2,3,4,5,6,7,8,9,10
0,100.0,1067.0,954.0,110.0,26.0,0.0,138.0,0.0,0.0,28.0
10000,100.0,1004.0,802.0,110.0,46.0,0.0,228.0,12.0,2.0,28.0
20000,100.0,915.0,683.0,110.0,75.0,0.0,290.0,27.0,18.0,28.0
30000,100.0,859.0,562.0,110.0,89.0,0.0,334.0,35.0,50.0,28.0
40000,100.0,789.0,472.0,110.0,110.0,1.0,354.0,43.0,89.0,28.0
50000,100.0,727.0,383.0,109.0,124.0,1.0,372.0,39.0,136.0,29.0
60000,100.0,676.0,334.0,109.0,133.0,1.0,353.0,42.0,182.0,29.0
70000,100.0,609.0,280.0,108.0,150.0,1.0,337.0,41.0,233.0,30.0
80000,100.0,540.0,224.0,108.0,153.0,1.0,311.0,51.0,285.0,30.0
90000,100.0,484.0,178.0,107.0,151.0,1.0,296.0,37.0,343.0,31.0
100000,100.0,480.0,235.0,117.0,154.0,2.0,307.0,28.0,384.0,34.0
110000,100.0,431.0,199.0,116.0,155.0,2.0,304.0,28.0,417.0,35.0
120000,100.0,396.0,165.0,116.0,154.0,2.0,295.0,32.0,447.0,35.0
130000,100.0,358.0,135.0,115.0,153.0,3.0,278.0,31.0,487.0,36.0
140000,100.0,312.0,111.0,114.0,159.0,3.0,252.0,37.0,524.0,37.0
150000,100.0,278.0,95.0,114.0,162.0,1.0,229.0,27.0,568.0,37.0
160000,100.0,250.0,76.0,113.0,153.0,1.0,206.0,36.0,599.0,38.0
170000,100.0,219.0,61.0,113.0,145.0,0.0,185.0,29.0,640.0,38.0
180000,100.0,194.0,51.0,113.0,128.0,0.0,168.0,18.0,677.0,38.0
190000,100.0,168.0,44.0,113.0,109.0,0.0,151.0,14.0,703.0,38.0
200000,100.0,171.0,114.0,121.0,94.0,0.0,151.0,21.0,725.0,43.0
210000,100.0,152.0,92.0,121.0,95.0,0.0,141.0,22.0,751.0,43.0
220000,100.0,143.0,75.0,119.0,93.0,0.0,130.0,17.0,780.0,45.0
230000,100.0,127.0,62.0,118.0,92.0,0.0,130.0,9.0,801.0,46.0
240000,100.0,117.0,49.0,117.0,86.0,0.0,117.0,20.0,814.0,47.0
250000,100.0,103.0,37.0,115.0,84.0,0.0,104.0,18.0,839.0,49.0
260000,100.0,88.0,27.0,115.0,74.0,0.0,98.0,10.0,861.0,49.0
270000,100.0,79.0,19.0,110.0,69.0,1.0,91.0,10.0,874.0,54.0
280000,100.0,72.0,15.0,109.0,64.0,1.0,77.0,15.0,887.0,55.0
290000,100.0,59.0,12.0,102.0,46.0,1.0,61.0,14.0,906.0,62.0
300000,100.0,66.0,93.0,110.0,30.0,0.0,70.0,5.0,924.0,67.0
310000,100.0,58.0,72.0,110.0,32.0,0.0,75.0,11.0,931.0,67.0
320000,100.0,54.0,54.0,107.0,32.0,0.0,73.0,12.0,946.0,70.0
330000,100.0,49.0,41.0,106.0,32.0,1.0,64.0,13.0,964.0,71.0
340000,100.0,44.0,26.0,101.0,32.0,1.0,67.0,5.0,982.0,76.0
350000,100.0,39.0,23.0,95.0,30.0,1.0,59.0,8.0,989.0,82.0
360000,100.0,35.0,18.0,93.0,30.0,1.0,50.0,9.0,1001.0,84.0
370000,100.0,29.0,11.0,89.0,30.0,0.0,49.0,3.0,1013.0,88.0
380000,100.0,29.0,10.0,87.0,25.0,0.0,40.0,6.0,1020.0,90.0
390000,100.0,25.0,7.0,83.0,22.0,0.0,35.0,6.0,1028.0,94.0
400000,100.0,34.0,83.0,89.0,18.0,0.0,52.0,4.0,1035.0,101.0
410000,100.0,31.0,57.0,86.0,17.0,0.0,64.0,7.0,1044.0,104.0
420000,100.0,29.0,46.0,80.0,18.0,0.0,62.0,9.0,1054.0,110.0
430000,100.0,23.0,34.0,76.0,19.0,0.0,55.0,9.0,1069.0,114.0
440000,100.0,18.0,18.0,74.0,17.0,0.0,59.0,9.0,1080.0,116.0
450000,100.0,14.0,13.0,73.0,18.0,0.0,49.0,6.0,1097.0,117.0
460000,100.0,12.0,9.0,72.0,16.0,0.0,39.0,10.0,1105.0,118.0
470000,100.0,10.0,7.0,69.0,12.0,0.0,28.0,7.0,1121.0,121.0
480000,100.0,7.0,6.0,65.0,11.0,0.0,26.0,2.0,1129.0,125.0
490000,100.0,5.0,4.0,61.0,11.0,0.0,20.0,5.0,1134.0,129.0
500000,100.0,14.0,78.0,69.0,10.0,0.0,40.0,5.0,1140.0,134.0
510000,100.0,14.0,58.0,62.0,9.0,0.0,48.0,7.0,1149.0,141.0
520000,100.0,14.0,37.0,60.0,9.0,0.0,53.0,8.0,1162.0,143.0
530000,100.0,13.0,28.0,57.0,8.0,0.0,46.0,8.0,1176.0,146.0
540000,100.0,11.0,22.0,54.0,9.0,0.0,41.0,7.0,1186.0,149.0
550000,100.0,9.0,14.0,52.0,6.0,0.0,35.0,5.0,1199.0,151.0
560000,100.0,8.0,12.0,51.0,4.0,0.0,24.0,7.0,1210.0,152.0
570000,100.0,6.0,8.0,49.0,5.0,0.0,21.0,6.0,1217.0,154.0
580000,100.0,6.0,3.0,47.0,4.0,0.0,19.0,3.0,1225.0,156.0
590000,100.0,5.0,3.0,44.0,2.0,0.0,17.0,2.0,1228.0,159.0
600000,100.0,14.0,72.0,45.0,3.0,0.0,45.0,2.0,1231.0,170.0
610000,100.0,12.0,43.0,38.0,4.0,0.0,59.0,3.0,1241.0,177.0
620000,100.0,8.0,36.0,37.0,5.0,0.0,51.0,8.0,1250.0,178.0
630000,100.0,8.0,28.0,35.0,5.0,0.0,49.0,5.0,1262.0,180.0
640000,100.0,8.0,23.0,29.0,4.0,0.0,43.0,5.0,1272.0,186.0
650000,100.0,6.0,17.0,26.0,4.0,0.0,37.0,7.0,1281.0,189.0
660000,100.0,4.0,14.0,23.0,5.0,0.0,33.0,4.0,1291.0,192.0
670000,100.0,3.0,9.0,21.0,2.0,0.0,30.0,3.0,1299.0,194.0
680000,100.0,3.0,5.0,19.0,1.0,0.0,25.0,3.0,1305.0,196.0
690000,100.0,2.0,3.0,18.0,1.0,0.0,22.0,3.0,1310.0,197.0
700000,100.0,9.0,74.0,23.0,4.0,0.0,47.0,2.0,1315.0,205.0
710000,100.0,8.0,56.0,21.0,5.0,0.0,47.0,10.0,1322.0,207.0
720000,100.0,8.0,44.0,19.0,5.0,0.0,47.0,5.0,1338.0,209.0
730000,100.0,7.0,35.0,16.0,5.0,0.0,45.0,5.0,1347.0,212.0
740000,100.0,7.0,26.0,16.0,5.0,0.0,44.0,2.0,1358.0,212.0
750000,100.0,7.0,17.0,16.0,5.0,0.0,45.0,3.0,1364.0,212.0
760000,100.0,6.0,11.0,16.0,4.0,0.0,37.0,7.0,1373.0,212.0
770000,100.0,5.0,7.0,15.0,4.0,0.0,37.0,2.0,1382.0,213.0
780000,100.0,5.0,4.0,14.0,3.0,0.0,27.0,3.0,1394.0,214.0
790000,100.0,4.0,3.0,14.0,4.0,0.0,22.0,3.0,1400.0,214.0
800000,100.0,14.0,73.0,19.0,3.0,0.0,47.0,3.0,1404.0,221.0
810000,100.0,13.0,51.0,17.0,3.0,0.0,54.0,3.0,1416.0,223.0
820000,100.0,11.0,37.0,16.0,4.0,0.0,52.0,7.0,1427.0,224.0
830000,100.0,10.0,29.0,15.0,3.0,0.0,47.0,4.0,1441.0,225.0
840000,100.0,10.0,22.0,14.0,2.0,0.0,38.0,7.0,1453.0,226.0
850000,100.0,8.0,18.0,14.0,4.0,0.0,31.0,7.0,1464.0,226.0
860000,100.0,7.0,14.0,14.0,4.0,0.0,27.0,5.0,1473.0,226.0
870000,100.0,7.0,7.0,13.0,4.0,0.0,27.0,2.0,1481.0,227.0
880000,100.0,7.0,4.0,11.0,3.0,0.0,26.0,2.0,1485.0,229.0
890000,100.0,6.0,2.0,11.0,3.0,0.0,17.0,3.0,1494.0,229.0
900000,99.0,14.0,75.0,18.0,4.0,0.0,41.0,1.0,1497.0,235.0
910000,99.0,12.0,59.0,18.0,4.0,0.0,40.0,8.0,1504.0,235.0
920000,99.0,12.0,46.0,17.0,4.0,0.0,41.0,3.0,1517.0,236.0
930000,99.0,12.0,31.0,16.0,4.0,0.0,46.0,5.0,1523.0,237.0
940000,99.0,9.0,23.0,13.0,4.0,0.0,43.0,7.0,1530.0,240.0
950000,99.0,9.0,18.0,13.0,4.0,0.0,37.0,5.0,1543.0,240.0
960000,99.0,8.0,13.0,12.0,2.0,0.0,35.0,4.0,1551.0,241.0
970000,99.0,4.0,11.0,11.0,2.0,0.0,29.0,3.0,1560.0,242.0
980000,99.0,3.0,9.0,11.0,2.0,0.0,25.0,5.0,1564.0,242.0
990000,99.0,3.0,5.0,11.0,2.0,0.0,18.0,5.0,1573.0,242.0
1000000,99.0,13.0,77.0,17.0,1.0,0.0,45.0,1.0,1578.0,248.0
