mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
220000,83,263,0,1.8069714e-09,1.4279959e-15,1.0232695e-15,1.5755151e-22,1.8524563e-27,2.1838266e-11
220000,418,437,0,1.8064982e-09,6.311897e-12,1.4537582e-13,1.4296582e-18,1.459593e-20,8.62448e-12
220000,111,413,0,2.042556e-09,4.601023e-13,4.4427333e-18,3.9401472e-27,1.3380563e-22,3.3945752e-11
220000,331,67,0,1.8216767e-09,1.1226644e-12,2.0800207e-28,0.0,4.1705435e-24,5.573626e-12
220000,268,91,0,1.8225734e-09,1.7459886e-20,1.756126e-24,1.6289648e-37,0.0,1.0383989e-11
220000,315,173,0,1.8070273e-09,3.237142e-20,3.43e-40,0.0,0.0,5.571219e-14
220000,82,202,0,1.8196916e-09,2.4684468e-19,1.3204866e-11,1.9471905e-14,3.211622e-16,6.131997e-11
220000,180,223,0,1.8108114e-09,2.6809145e-15,0.0,0.0,2.8750307e-36,2.309892e-12
220000,283,248,0,2.1249213e-09,7.359339e-17,0.0,0.0,1.1089924e-37,3.4163305e-14
220000,196,82,0,1.806774e-09,1.566207e-11,1.550089e-13,4.6710347e-18,1.746467e-18,3.199636e-11
220000,329,82,0,1.9421618e-09,2.3897582e-15,2.4011601e-26,8.0475e-41,4.4785236e-35,3.5299375e-11
220000,142,151,0,1.9626838e-09,3.575349e-15,5.6060735e-34,0.0,6.405978e-34,1.0703796e-12
220000,67,315,0,1.8083729e-09,1.7409711e-12,1.4442777e-17,4.280555e-27,9.109748e-25,1.7186414e-11
220000,374,296,0,1.8099662e-09,2.9353168e-14,3.0961514e-25,1.503548e-39,9.4802397e-35,2.3738257e-16
220000,195,379,0,1.8130362e-09,2.053818e-12,4.9738242e-23,2.3249278e-33,1.0044509e-24,2.8133502e-11
220000,219,425,0,1.8068751e-09,9.931114e-13,1.9025604e-11,4.1710786e-14,7.7163823e-16,3.3145541e-12
220000,162,274,0,1.806914e-09,4.233547e-11,0.0,0.0,5.410047e-16,1.5541837e-16
220000,139,176,0,1.8071007e-09,1.9751978e-12,6.716e-40,0.0,1.102085e-22,6.405502e-13
220000,101,401,0,1.8957211e-09,1.7163713e-11,6.899157e-17,1.1168148e-23,6.5011545e-18,1.530157e-12
220000,382,165,0,2.4302627e-09,1.578204e-12,8.335081e-19,5.6792046e-27,6.198914e-26,1.892818e-12
220000,136,279,0,1.8072072e-09,9.711339e-17,4e-45,0.0,7e-45,4.8028677e-12
220000,78,217,0,1.9170605e-09,3.223089e-13,1.1625694e-19,9.965881e-31,1.1940027e-28,7.2002744e-11
220000,438,376,0,1.8128278e-09,7.1938343e-13,1.324863e-18,1.9960844e-28,2.3566567e-24,5.6330232e-11
220000,193,396,0,1.8130828e-09,1.7337682e-14,4.0126385e-13,5.2564734e-17,2.0428761e-19,8.4718265e-12
220000,352,358,0,1.806908e-09,2.3803252e-13,7.455184e-19,1.6655186e-26,6.65436e-27,1.181869e-13
220000,106,409,0,2.0714976e-09,3.0535622e-13,1.2717803e-14,3.1417716e-19,3.6154619e-22,1.1644706e-12
220000,374,93,0,1.8071153e-09,1.3003059e-12,3.8260956e-10,3.6032302e-11,2.0553158e-11,2.8716527e-11
220000,125,313,0,1.821294e-09,7.505501e-13,2.0043618e-23,1.9788662e-34,9.277205e-25,4.703226e-12
220000,138,321,0,1.8186778e-09,2.5049087e-14,4.690647e-30,0.0,3.3613012e-31,8.205754e-14
220000,376,274,0,2.3225142e-09,7.5455225e-18,1.2649649e-21,4.341141e-33,1.9683e-41,4.1691796e-11
220000,114,97,0,1.8064571e-09,7.399406e-11,6.1092e-15,1.08000365e-19,2.615969e-14,1.09147365e-10
