meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.9446755e-10,0.0,0.0,0.0,0.0,0.0,2.750822e-10,0.0,0.0,0.0,0.0,0.0
10000,1.0034427e-09,5.6494115e-12,0.0,0.0,1.0233064e-11,0.0,4.597839e-10,1.1310126e-10,0.0,0.0,2.0504466e-10,0.0
20000,1.1176807e-09,1.0225952e-11,2.7631946e-12,5.739727e-13,1.9011584e-11,4.0227453e-21,5.573878e-10,1.5039574e-10,9.7771125e-11,2.0309225e-11,2.7416355e-10,1.9939989e-19
30000,1.2090453e-09,1.7932943e-11,2.7049643e-12,5.6186555e-13,3.3083113e-11,3.6204418e-12,6.182894e-10,2.0009724e-10,9.673527e-11,2.0094057e-11,3.6397863e-10,1.0242349e-10
40000,1.2870187e-09,3.012515e-11,7.987067e-12,1.6590263e-12,5.6516188e-11,9.087567e-12,6.6425127e-10,2.581854e-10,1.6609762e-10,3.450216e-11,4.7077975e-10,1.5996393e-10
50000,1.3642819e-09,3.3060596e-11,2.2523155e-11,4.6737835e-12,6.579085e-11,1.8748746e-11,6.98961e-10,2.6854807e-10,2.7819397e-10,5.7787268e-11,4.9422527e-10,2.3337068e-10
60000,1.4278434e-09,3.9494713e-11,1.4609725e-11,3.0045868e-12,7.35294e-11,3.7663605e-11,7.36825e-10,2.914289e-10,2.2312317e-10,4.6335543e-11,5.3196775e-10,3.276857e-10
70000,1.5059667e-09,4.5824195e-11,1.7259976e-11,3.5635655e-12,8.5742184e-11,5.835528e-11,7.5943407e-10,3.1211797e-10,2.4299315e-10,5.0467092e-11,5.73091e-10,4.0883433e-10
80000,1.5683094e-09,5.3315793e-11,1.3068664e-11,2.7146068e-12,9.790175e-11,9.3446285e-11,7.816721e-10,3.3654282e-10,2.0942445e-10,4.398542e-11,6.1655836e-10,5.1307864e-10
90000,1.6425933e-09,5.2307693e-11,1.8630611e-11,3.832186e-12,9.404437e-11,1.05764675e-10,7.973108e-10,3.2880537e-10,2.5192828e-10,5.2322466e-11,5.994437e-10,5.425116e-10
100000,1.7037936e-09,6.005419e-11,9.78737e-12,1.93572e-12,1.07579286e-10,1.325433e-10,8.1697216e-10,3.5397504e-10,1.784826e-10,3.6997613e-11,6.67721e-10,6.0350774e-10
110000,1.7538085e-09,6.947827e-11,2.9203102e-11,5.968328e-12,1.2997513e-10,1.4091416e-10,8.4627216e-10,3.785955e-10,3.134308e-10,6.5065356e-11,7.160316e-10,6.179528e-10
120000,1.8175996e-09,7.808995e-11,1.382181e-11,2.747379e-12,1.3787609e-10,1.6865517e-10,8.6124957e-10,3.9757983e-10,2.1472032e-10,4.4217685e-11,7.463085e-10,6.726843e-10
130000,1.8689723e-09,7.444897e-11,1.5121909e-11,3.1910787e-12,1.2901989e-10,2.046793e-10,8.8272084e-10,3.830892e-10,2.186979e-10,4.7067884e-11,7.0519096e-10,7.40606e-10
140000,1.9445139e-09,6.701859e-11,1.475977e-11,2.9948038e-12,1.1900551e-10,2.0875073e-10,8.909964e-10,3.5772363e-10,2.1418024e-10,4.5248194e-11,6.857015e-10,7.378508e-10
150000,1.9981417e-09,7.34106e-11,2.0700436e-11,4.1297564e-12,1.2582366e-10,2.362689e-10,9.053135e-10,3.6991038e-10,2.6150646e-10,5.4132542e-11,6.918588e-10,7.813457e-10
160000,2.0556126e-09,6.836445e-11,2.6378035e-11,5.4358566e-12,1.1841854e-10,2.646865e-10,9.206596e-10,3.5767936e-10,2.9164893e-10,6.152506e-11,6.660114e-10,8.222439e-10
170000,2.1231965e-09,6.682812e-11,2.1595396e-11,4.5512396e-12,1.16185665e-10,3.0197583e-10,9.253919e-10,3.477022e-10,2.5914576e-10,5.589112e-11,6.704592e-10,8.7383456e-10
180000,2.1868856e-09,5.335142e-11,2.5444487e-11,5.0842655e-12,8.9250995e-11,3.3432052e-10,9.427245e-10,3.0175684e-10,2.8079591e-10,5.929503e-11,5.743456e-10,9.1219815e-10
