meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,2.4616234e-10,0.0,0.0,0.0,0.0,0.0,3.8543851e-10,0.0,0.0,0.0,0.0,0.0
10000,2.0054218e-10,2.3831263e-11,0.0,0.0,4.3204284e-11,0.0,4.2939868e-10,2.3146147e-10,0.0,0.0,4.1962311e-10,0.0
20000,1.809087e-10,7.372851e-11,2.4383662e-11,5.0647056e-12,1.4154786e-10,0.0,4.408573e-10,4.022124e-10,2.8952132e-10,6.014001e-11,7.3408957e-10,0.0
30000,1.942801e-10,9.09255e-11,3.842327e-11,7.979903e-12,1.7842454e-10,1.6581387e-11,4.6836013e-10,4.4207002e-10,3.6267128e-10,7.533501e-11,8.153125e-10,2.2199803e-10
40000,1.9466964e-10,1.3025493e-10,5.018376e-11,1.041003e-11,2.4978297e-10,3.5615937e-11,4.7936405e-10,5.248062e-10,4.1350298e-10,8.589453e-11,9.574436e-10,3.233194e-10
50000,1.9871944e-10,1.3242613e-10,5.8974964e-11,1.2189125e-11,2.5560476e-10,4.7851265e-11,4.94084e-10,5.2791205e-10,4.4666665e-10,9.277291e-11,9.639044e-10,3.7100845e-10
60000,2.0979743e-10,1.6242457e-10,9.0366374e-11,1.8874334e-11,3.2794004e-10,6.760555e-11,5.1101856e-10,5.817573e-10,5.4727195e-10,1.146791e-10,1.0979496e-09,4.4197984e-10
70000,2.1073929e-10,1.7412215e-10,4.2277012e-11,8.509263e-12,3.2929962e-10,9.891586e-11,5.1910004e-10,5.9585953e-10,3.7294057e-10,7.735018e-11,1.097588e-09,5.302768e-10
80000,2.2168052e-10,2.0922707e-10,6.431192e-11,1.3326568e-11,3.9698997e-10,1.3286813e-10,5.3353794e-10,6.506556e-10,4.5863907e-10,9.64256e-11,1.2282451e-09,6.10849e-10
90000,2.4419777e-10,2.1976614e-10,7.674758e-11,1.556e-11,4.0797749e-10,1.2494486e-10,5.600626e-10,6.569011e-10,5.0172483e-10,1.0414076e-10,1.1986795e-09,5.8737554e-10
100000,2.490457e-10,2.128435e-10,7.3812095e-11,1.5348462e-11,4.012922e-10,1.4387118e-10,5.687437e-10,6.5005634e-10,4.9285404e-10,1.0360942e-10,1.1897631e-09,6.286431e-10
110000,2.56353e-10,2.3563748e-10,3.6765316e-11,7.318694e-12,4.3281587e-10,1.9891254e-10,5.7895444e-10,6.853522e-10,3.4647854e-10,7.191634e-11,1.2663603e-09,7.304396e-10
120000,2.692638e-10,2.3390453e-10,8.4203824e-11,1.8493075e-11,4.3881704e-10,1.5099548e-10,5.920094e-10,6.783197e-10,5.150893e-10,1.11445894e-10,1.2391711e-09,6.35687e-10
130000,2.7643554e-10,2.4679922e-10,7.4377185e-11,1.5214125e-11,4.5715112e-10,2.509178e-10,6.0228905e-10,6.9035894e-10,4.969715e-10,1.03173387e-10,1.263715e-09,8.1862656e-10
140000,2.8576788e-10,2.879868e-10,5.5913496e-11,1.1264155e-11,5.194641e-10,2.412045e-10,6.139967e-10,7.378923e-10,4.20646e-10,8.8242975e-11,1.3451698e-09,7.958671e-10
