mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
610000,242,356,0,6.420905e-09,1.02001315e-11,1.3692924e-16,2.9114694e-25,5.670459e-16,1.1966214e-12
610000,92,241,0,5.6059055e-09,9.08365e-12,1.7974516e-23,1.0783867e-38,5.62737e-22,2.672493e-11
610000,228,230,0,4.24261e-09,1.5473612e-11,1.846e-42,0.0,7.629911e-20,6.4246234e-12
610000,89,420,0,4.787081e-09,5.198083e-11,1.555915e-16,4.0180612e-26,2.8266988e-11,2.4807867e-10
610000,214,406,0,4.2503636e-09,4.0483242e-11,1.9592751e-16,9.376078e-27,1.8977456e-13,5.337578e-11
610000,122,101,0,4.969512e-09,1.8629149e-11,7.1535334e-12,3.2746391e-15,7.413132e-13,1.1438754e-10
610000,324,305,0,7.242487e-09,1.091477e-11,2.5763962e-22,1.2633991e-36,4.0572377e-19,1.3266566e-11
610000,393,79,0,4.7451363e-09,6.747502e-11,2.7058308e-10,5.993679e-11,5.4646475e-11,1.6057462e-10
610000,347,372,0,5.471331e-09,2.110604e-11,2.5898356e-23,4.832e-41,2.7355394e-17,1.0294847e-10
610000,326,329,0,4.857432e-09,2.133461e-11,3.9262567e-31,0.0,4.2930755e-13,1.3816255e-12
610000,83,390,0,5.5156137e-09,1.4992556e-10,1.439219e-13,4.146948e-20,2.4170516e-10,1.3691841e-10
610000,221,211,0,5.7959006e-09,7.240199e-12,0.0,0.0,6.729016e-20,7.340759e-17
610000,136,365,0,6.7054624e-09,3.93374e-11,6.079071e-13,1.659735e-18,9.4356014e-14,9.517113e-11
610000,240,384,0,5.4503606e-09,2.8027175e-12,9.469699e-27,0.0,1.6374563e-24,8.3222734e-11
610000,253,58,0,3.333895e-09,5.023554e-11,2.2485898e-13,2.777308e-18,1.1616111e-14,3.3090724e-12
610000,244,210,0,5.7376193e-09,4.082444e-11,0.0,0.0,1.52666e-16,1.466911e-17
610000,227,312,0,5.1804756e-09,1.8372305e-11,2.1224449e-33,0.0,1.6718235e-17,1.8834435e-19
610000,338,444,0,3.6430532e-09,3.2957297e-11,6.0075892e-15,6.845006e-23,4.369294e-15,7.50874e-11
610000,342,230,0,5.90873e-09,5.7510893e-12,9.737809e-21,4.7584053e-34,4.2326603e-20,6.522018e-12
610000,355,289,0,5.758687e-09,6.4190203e-12,6.86012e-28,1e-45,2.338744e-22,2.7520808e-13
610000,180,347,0,5.8632508e-09,8.145203e-13,1.5675628e-26,0.0,6.746549e-30,7.925431e-11
610000,277,80,0,5.9597185e-09,1.1938386e-14,1.2399447e-13,2.9945295e-20,7.556516e-26,3.1686806e-11
610000,164,182,0,8.5375955e-09,7.457845e-14,0.0,0.0,8.413796e-33,3.7911645e-24
610000,259,259,0,5.3662754e-09,9.605224e-16,1.6266578e-21,1.7860203e-36,3e-45,5.2641055e-11
610000,367,323,0,8.445444e-09,1.2973627e-13,1.0444438e-31,0.0,1.00904244e-35,1.1120002e-13
610000,222,185,0,7.0937833e-09,1.21348574e-14,4.97e-43,0.0,6.16391e-35,9.9371964e-24
610000,323,237,0,7.6159274e-09,1.6275238e-11,2.3769113e-32,0.0,1.4793286e-17,8.801444e-16
610000,330,63,0,6.0875363e-09,3.7513593e-11,6.8958133e-12,2.7532622e-15,2.650689e-12,9.820622e-11
610000,403,157,0,5.663188e-09,2.7468462e-11,4.2171346e-16,3.0270047e-25,1.6152193e-18,7.631915e-11
610000,58,155,0,6.044045e-09,4.2033297e-11,1.5445558e-17,1.556649e-27,3.492559e-14,5.4563572e-11
610000,345,164,0,4.61587e-09,1.8752524e-11,1.7745583e-12,2.0530997e-16,4.9938593e-18,3.2617763e-11
610000,265,334,0,4.8536384e-09,2.8741312e-15,4.047351e-25,1.16e-43,5.6e-43,4.2122687e-11
610000,297,360,0,6.3957812e-09,1.8086944e-14,1.0763841e-12,3.0858816e-17,7.5016355e-21,1.0037013e-10
610000,54,106,0,4.084529e-09,2.3581666e-11,3.5771933e-13,3.2073016e-19,3.6390378e-16,2.3948835e-10
610000,446,311,0,4.1386214e-09,2.3523256e-11,4.0715604e-11,5.4385495e-13,1.861405e-14,3.290619e-11
610000,138,411,0,8.001208e-09,3.140124e-11,9.456205e-15,1.1418527e-22,8.8061665e-14,1.4902292e-10
610000,416,304,0,6.5903536e-09,1.3880389e-11,7.277262e-22,7.694966e-39,7.144637e-21,8.634046e-11
610000,331,380,0,6.8382904e-09,2.1016676e-11,2.573335e-39,0.0,1.9762907e-19,2.1058101e-11
610000,378,388,0,5.182597e-09,2.6746582e-11,7.290666e-24,1.345282e-39,2.4555512e-16,6.815406e-11
610000,227,239,0,4.931356e-09,1.07741e-11,2.869254e-33,0.0,3.6415935e-20,7.872741e-12
610000,226,64,0,6.6900263e-09,1.4713123e-11,9.837178e-12,8.277578e-15,2.381509e-16,1.3606706e-11
610000,289,86,0,6.1547776e-09,8.781588e-12,1.988117e-22,2.480793e-39,1.2947943e-19,2.0175066e-11
610000,169,157,0,6.284641e-09,6.1863234e-14,1.6149121e-33,0.0,2.813699e-32,2.5301829e-12
610000,442,377,0,4.269409e-09,3.2361176e-11,9.073884e-18,2.1164139e-29,6.0618237e-13,1.1513352e-10
610000,259,270,0,7.1142168e-09,9.409294e-21,3.0389853e-29,0.0,0.0,3.1130393e-11
610000,359,91,0,5.7854375e-09,3.5417565e-11,2.533066e-13,2.8158497e-19,1.5695683e-11,1.9459424e-11
610000,144,122,0,5.527804e-09,1.2314052e-12,2.1576853e-22,8.642433e-39,8.06343e-31,6.5404564e-11
610000,434,386,0,4.73909e-09,1.9456065e-11,8.9187114e-14,4.64331e-20,7.686961e-20,6.739163e-11
610000,322,86,0,6.3818497e-09,8.19178e-12,2.2038033e-11,9.567945e-14,1.0926493e-15,7.585343e-11
610000,140,60,0,5.3096856e-09,1.7623295e-11,1.590917e-15,2.56927e-24,6.299483e-18,2.9016496e-11
610000,99,330,0,4.536211e-09,1.5649422e-14,4.4518245e-19,4.7075323e-31,4.896715e-34,2.4891603e-14
610000,180,55,0,4.0539874e-09,9.870304e-12,1.9527023e-12,1.3685423e-16,4.846989e-20,6.2593736e-11
610000,447,231,0,4.5032325e-09,3.5307108e-11,7.1534527e-12,3.2746391e-15,1.568257e-17,1.7016336e-10
610000,149,334,0,5.2277316e-09,8.133365e-12,1.7578214e-29,0.0,1.8935299e-19,5.1157314e-11
610000,276,123,0,6.6204273e-09,3.143263e-11,9.0542965e-37,0.0,3.6138608e-16,2.1217528e-13
610000,286,193,0,6.4355805e-09,7.1615283e-12,0.0,0.0,1.6222141e-18,4.642952e-19
610000,318,221,0,6.836266e-09,9.377761e-13,0.0,0.0,1.9797409e-28,4.0440897e-17
610000,400,414,0,4.8494164e-09,8.7106945e-12,1.007269e-12,2.6626434e-17,1.3660065e-20,8.381652e-11
610000,375,402,0,4.6647486e-09,1.09658446e-11,7.519371e-16,5.647836e-25,3.6368414e-18,1.9224388e-11
610000,406,419,0,6.4459464e-09,5.4226268e-12,8.6726825e-16,1.19733734e-23,1.2093949e-23,3.164072e-11
610000,79,53,0,4.6503352e-09,5.070285e-11,6.8810925e-17,2.3943269e-26,4.0549323e-16,1.2601582e-10
610000,262,443,0,5.461666e-09,3.286689e-11,5.5967714e-13,1.3755782e-17,7.118778e-14,5.0994046e-11
