mcsteps,1,2,3,4,5,6,7,8,9,10
0,3929.0,1062.0,974.0,110.0,30.0,0.0,115.0,0.0,0.0,28.0
10000,3929.0,980.0,850.0,110.0,54.0,0.0,183.0,12.0,0.0,28.0
20000,3929.0,905.0,719.0,110.0,82.0,0.0,237.0,27.0,15.0,28.0
30000,3929.0,840.0,592.0,110.0,103.0,0.0,300.0,25.0,31.0,28.0
40000,3929.0,769.0,504.0,110.0,114.0,0.0,305.0,48.0,30.0,28.0
50000,3929.0,701.0,421.0,110.0,119.0,1.0,330.0,26.0,53.0,28.0
60000,3929.0,627.0,341.0,110.0,133.0,1.0,355.0,30.0,26.0,28.0
70000,3929.0,556.0,279.0,110.0,142.0,1.0,351.0,38.0,65.0,28.0
80000,3929.0,487.0,226.0,109.0,152.0,1.0,341.0,41.0,84.0,29.0
90000,3929.0,426.0,182.0,108.0,152.0,1.0,323.0,39.0,95.0,30.0
100000,3929.0,413.0,247.0,117.0,163.0,1.0,313.0,36.0,98.0,34.0
110000,3929.0,366.0,210.0,117.0,169.0,4.0,297.0,39.0,93.0,34.0
120000,3929.0,330.0,175.0,117.0,167.0,5.0,284.0,29.0,144.0,34.0
130000,3929.0,300.0,137.0,117.0,169.0,4.0,269.0,38.0,134.0,34.0
140000,3929.0,276.0,111.0,117.0,164.0,5.0,242.0,40.0,133.0,34.0
150000,3929.0,251.0,90.0,117.0,154.0,5.0,223.0,28.0,129.0,34.0
160000,3929.0,225.0,66.0,117.0,157.0,4.0,202.0,28.0,128.0,34.0
170000,3929.0,190.0,51.0,117.0,144.0,3.0,185.0,26.0,159.0,34.0
180000,3929.0,165.0,42.0,117.0,137.0,3.0,163.0,24.0,145.0,34.0
190000,3929.0,148.0,35.0,117.0,120.0,3.0,145.0,18.0,127.0,34.0
200000,3929.0,149.0,110.0,127.0,103.0,2.0,145.0,23.0,110.0,37.0
210000,3929.0,132.0,90.0,127.0,102.0,1.0,135.0,20.0,111.0,37.0
220000,3929.0,107.0,74.0,127.0,106.0,1.0,133.0,12.0,135.0,37.0
230000,3929.0,95.0,58.0,127.0,94.0,1.0,128.0,13.0,124.0,37.0
240000,3929.0,82.0,45.0,127.0,90.0,1.0,116.0,17.0,114.0,37.0
250000,3929.0,70.0,34.0,127.0,80.0,1.0,96.0,21.0,119.0,37.0
260000,3929.0,59.0,24.0,127.0,75.0,1.0,81.0,16.0,114.0,37.0
270000,3929.0,46.0,19.0,125.0,69.0,0.0,64.0,18.0,133.0,39.0
280000,3929.0,38.0,17.0,125.0,62.0,0.0,51.0,13.0,128.0,39.0
290000,3929.0,30.0,11.0,124.0,59.0,0.0,51.0,3.0,125.0,40.0
300000,3929.0,39.0,81.0,133.0,40.0,0.0,74.0,2.0,114.0,44.0
310000,3929.0,35.0,60.0,133.0,37.0,0.0,77.0,12.0,118.0,44.0
320000,3929.0,31.0,46.0,133.0,35.0,0.0,79.0,4.0,110.0,44.0
330000,3929.0,26.0,36.0,132.0,34.0,0.0,69.0,11.0,95.0,45.0
340000,3929.0,22.0,30.0,132.0,28.0,0.0,62.0,7.0,92.0,45.0
350000,3929.0,19.0,23.0,131.0,26.0,0.0,61.0,3.0,103.0,46.0
360000,3929.0,15.0,16.0,131.0,27.0,0.0,59.0,4.0,92.0,46.0
370000,3929.0,13.0,12.0,129.0,23.0,0.0,51.0,5.0,87.0,48.0
380000,3929.0,8.0,9.0,129.0,21.0,0.0,45.0,6.0,95.0,48.0
390000,3929.0,7.0,7.0,129.0,19.0,0.0,35.0,7.0,97.0,48.0
400000,3928.0,15.0,78.0,139.0,15.0,0.0,56.0,7.0,100.0,51.0
