meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.0205913e-10,0.0,0.0,0.0,0.0,0.0,3.4677586e-10,0.0,0.0,0.0,0.0,0.0
10000,8.0956625e-10,9.3182346e-12,0.0,0.0,1.6891901e-11,0.0,5.4243854e-10,1.4519506e-10,0.0,0.0,2.632283e-10,0.0
20000,8.795848e-10,1.9290645e-11,2.2555432e-12,4.6852626e-13,3.5633777e-11,0.0,6.324776e-10,2.0819121e-10,8.834131e-11,1.8350444e-11,3.785112e-10,0.0
30000,9.367974e-10,2.6297733e-11,8.770795e-12,1.8218818e-12,4.988696e-11,5.678535e-12,6.846126e-10,2.4130917e-10,1.7403945e-10,3.6151842e-11,4.4076123e-10,1.3015217e-10
40000,9.619939e-10,5.132166e-11,1.2645285e-11,2.6248136e-12,9.689107e-11,5.4736745e-12,7.3151724e-10,3.3435346e-10,2.0878022e-10,4.3368368e-11,6.1403377e-10,1.275587e-10
50000,1.0113147e-09,7.373043e-11,1.708552e-11,3.50286e-12,1.3799785e-10,2.0122857e-11,7.647127e-10,3.9789255e-10,2.4069743e-10,4.9972256e-11,7.295211e-10,2.4338984e-10
60000,1.0623448e-09,8.066587e-11,2.757251e-11,5.687791e-12,1.5423252e-10,2.9089432e-11,7.8923135e-10,4.1609058e-10,3.0651817e-10,6.366151e-11,7.640759e-10,2.932594e-10
70000,1.1238058e-09,9.1273565e-11,3.2549755e-11,6.6638574e-12,1.7516462e-10,3.3381343e-11,8.040507e-10,4.4276877e-10,3.335194e-10,6.890064e-11,8.2370705e-10,3.0815248e-10
80000,1.1756444e-09,9.8186445e-11,2.8868222e-11,5.840657e-12,1.850047e-10,5.9889434e-11,8.218774e-10,4.5144433e-10,3.096069e-10,6.423026e-11,8.3578705e-10,4.1647588e-10
90000,1.2280262e-09,1.00226605e-10,2.2503645e-11,4.5578884e-12,1.8581027e-10,5.15029e-11,8.4052176e-10,4.5698895e-10,2.739337e-10,5.684228e-11,8.408644e-10,3.800678e-10
100000,1.2676626e-09,9.671662e-11,3.8108013e-11,7.774999e-12,1.8431291e-10,5.542787e-11,8.610393e-10,4.4590448e-10,3.5430273e-10,7.4026965e-11,8.3935187e-10,3.9714937e-10
110000,1.3003187e-09,1.0544422e-10,3.535464e-11,7.2669947e-12,1.9056065e-10,6.7396734e-11,8.7440605e-10,4.6130263e-10,3.393327e-10,7.140518e-11,8.434496e-10,4.3339193e-10
120000,1.3343341e-09,1.07568135e-10,3.8467757e-11,8.063374e-12,1.968029e-10,6.878483e-11,8.894961e-10,4.6338247e-10,3.636449e-10,7.849549e-11,8.556609e-10,4.3322823e-10
130000,1.3968559e-09,1.0393508e-10,2.4571888e-11,4.7549035e-12,1.8741826e-10,7.4489276e-11,8.9307656e-10,4.514672e-10,2.775698e-10,5.749071e-11,8.4246515e-10,4.5019824e-10
