mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
820000,169,431,0,4.2878416e-09,8.7038786e-11,1.44369e-21,2.094707e-35,3.4482616e-14,1.251095e-10
820000,115,327,0,2.5383362e-09,9.557074e-12,2.2073238e-18,2.735659e-30,5.0160977e-22,1.655449e-10
820000,375,173,0,4.180447e-09,2.0803027e-12,4.3666136e-23,1.2509009e-38,3.626419e-26,2.0639343e-10
820000,303,446,0,2.5058664e-09,3.5634256e-11,1.893073e-11,1.3421855e-13,6.336317e-14,6.698842e-11
820000,420,125,0,4.458058e-09,5.499769e-11,4.998706e-12,4.9934697e-15,3.2631586e-10,2.6018476e-10
820000,112,212,0,3.194302e-09,3.138954e-11,2.4757396e-13,2.1696292e-18,9.8667234e-15,4.2810564e-11
820000,210,299,0,2.958079e-09,2.548266e-11,1.2770665e-34,0.0,2.366733e-14,1.5617053e-11
820000,329,278,0,4.916298e-09,8.5222844e-12,8.0986e-40,0.0,1.2985442e-15,3.9388603e-15
820000,256,332,0,3.4754317e-09,4.677348e-15,4.0026987e-21,6.031826e-37,6e-45,2.819995e-12
820000,371,192,0,3.9226062e-09,2.0879997e-11,1.6664477e-26,0.0,1.7578036e-14,3.4243754e-11
820000,117,438,0,2.9480869e-09,3.296065e-11,1.8911463e-15,3.0525158e-25,9.260796e-15,2.0335246e-10
820000,422,114,0,4.3350514e-09,3.1748708e-11,8.1212175e-13,2.904729e-17,3.9233682e-14,2.1027412e-10
820000,64,352,0,3.8901677e-09,2.7763078e-11,7.5675025e-16,2.3328015e-25,1.0511976e-15,6.677453e-11
820000,268,321,0,3.383053e-09,1.2801056e-14,6.312943e-11,1.0090949e-11,4.5358465e-12,5.9517793e-11
820000,285,163,0,3.4903982e-09,6.7613454e-12,8.850938e-33,0.0,1.3401971e-19,2.931321e-11
820000,384,265,0,4.028482e-09,1.0997337e-11,2.3158849e-17,5.4048244e-28,1.2904204e-18,1.0401135e-10
820000,234,365,0,4.147488e-09,9.869632e-12,1.1512678e-20,3.073661e-36,3.7782912e-13,4.4817955e-11
820000,310,317,0,3.6931853e-09,2.5775632e-12,2.8692e-41,0.0,1.3895241e-27,2.0118922e-16
820000,329,366,0,4.688755e-09,2.3362085e-11,3.4836975e-19,1.6082886e-32,1.3191243e-14,1.37095595e-11
820000,203,243,0,5.517635e-09,1.6610895e-18,1.0411852e-25,0.0,0.0,2.6453971e-12
820000,327,202,0,3.878329e-09,6.5709433e-13,1.0853109e-18,2.808534e-32,8.7427345e-32,5.2762638e-11
