mcsteps,1,2,3,4,5,6,7,8,9,10
0,993.0,1058.0,956.0,110.0,28.0,0.0,134.0,0.0,0.0,28.0
10000,993.0,978.0,823.0,109.0,62.0,0.0,197.0,17.0,6.0,29.0
20000,993.0,906.0,687.0,109.0,77.0,0.0,272.0,22.0,25.0,29.0
30000,993.0,842.0,589.0,109.0,97.0,0.0,307.0,30.0,50.0,29.0
40000,993.0,751.0,500.0,108.0,122.0,0.0,323.0,31.0,85.0,30.0
50000,993.0,685.0,415.0,108.0,133.0,0.0,345.0,26.0,120.0,30.0
60000,993.0,615.0,338.0,108.0,145.0,0.0,364.0,38.0,150.0,30.0
70000,993.0,552.0,287.0,108.0,154.0,0.0,347.0,36.0,199.0,30.0
80000,993.0,498.0,226.0,108.0,158.0,0.0,346.0,41.0,240.0,30.0
90000,993.0,439.0,185.0,108.0,172.0,0.0,308.0,50.0,292.0,30.0
100000,993.0,429.0,256.0,116.0,177.0,0.0,299.0,30.0,347.0,35.0
110000,993.0,390.0,217.0,116.0,178.0,1.0,282.0,34.0,314.0,35.0
120000,993.0,354.0,176.0,116.0,174.0,1.0,281.0,27.0,311.0,35.0
130000,993.0,312.0,143.0,115.0,174.0,0.0,265.0,33.0,302.0,36.0
140000,993.0,287.0,118.0,115.0,169.0,1.0,251.0,29.0,310.0,36.0
150000,993.0,263.0,96.0,115.0,164.0,1.0,229.0,29.0,307.0,36.0
160000,993.0,237.0,75.0,115.0,155.0,1.0,207.0,26.0,311.0,36.0
170000,993.0,204.0,55.0,115.0,139.0,1.0,189.0,25.0,304.0,36.0
180000,993.0,176.0,43.0,115.0,122.0,1.0,164.0,23.0,305.0,36.0
190000,993.0,150.0,36.0,114.0,113.0,2.0,138.0,23.0,276.0,37.0
200000,993.0,152.0,113.0,123.0,92.0,2.0,137.0,17.0,274.0,41.0
210000,993.0,139.0,82.0,122.0,85.0,1.0,138.0,21.0,264.0,42.0
220000,993.0,125.0,66.0,122.0,83.0,1.0,124.0,20.0,272.0,42.0
230000,993.0,108.0,54.0,122.0,89.0,1.0,106.0,21.0,269.0,42.0
240000,993.0,99.0,42.0,122.0,88.0,0.0,94.0,18.0,271.0,42.0
250000,993.0,86.0,31.0,120.0,81.0,0.0,90.0,10.0,266.0,44.0
260000,993.0,79.0,23.0,118.0,74.0,0.0,71.0,20.0,259.0,46.0
270000,993.0,67.0,15.0,115.0,69.0,0.0,63.0,8.0,268.0,49.0
280000,993.0,57.0,15.0,114.0,57.0,0.0,55.0,6.0,220.0,50.0
290000,993.0,47.0,10.0,114.0,55.0,0.0,47.0,12.0,216.0,50.0
300000,992.0,54.0,92.0,124.0,43.0,0.0,58.0,5.0,224.0,53.0
310000,992.0,47.0,68.0,124.0,43.0,0.0,66.0,6.0,221.0,53.0
320000,992.0,44.0,56.0,124.0,39.0,0.0,69.0,8.0,216.0,53.0
330000,992.0,42.0,42.0,123.0,36.0,0.0,67.0,11.0,221.0,54.0
340000,992.0,40.0,32.0,121.0,33.0,0.0,55.0,12.0,228.0,56.0
350000,992.0,36.0,22.0,118.0,28.0,1.0,49.0,9.0,226.0,59.0
360000,992.0,29.0,19.0,118.0,25.0,1.0,42.0,9.0,220.0,59.0
370000,992.0,25.0,15.0,117.0,23.0,1.0,37.0,4.0,224.0,60.0
380000,992.0,23.0,12.0,116.0,19.0,1.0,31.0,6.0,216.0,61.0
390000,992.0,19.0,9.0,114.0,20.0,0.0,23.0,7.0,219.0,63.0
400000,992.0,26.0,81.0,124.0,18.0,0.0,48.0,2.0,218.0,66.0
410000,992.0,25.0,52.0,122.0,19.0,0.0,63.0,5.0,176.0,68.0
420000,992.0,20.0,38.0,120.0,21.0,0.0,61.0,5.0,183.0,70.0
430000,992.0,18.0,24.0,119.0,20.0,0.0,60.0,10.0,178.0,71.0
440000,992.0,16.0,22.0,117.0,21.0,0.0,51.0,8.0,182.0,73.0
450000,992.0,14.0,13.0,113.0,18.0,0.0,48.0,7.0,181.0,77.0
460000,992.0,14.0,11.0,111.0,16.0,0.0,43.0,4.0,179.0,79.0
470000,992.0,14.0,9.0,111.0,12.0,0.0,34.0,6.0,177.0,79.0
480000,992.0,12.0,7.0,106.0,10.0,0.0,33.0,1.0,177.0,84.0
490000,992.0,11.0,5.0,104.0,8.0,0.0,25.0,7.0,172.0,86.0
500000,992.0,21.0,84.0,113.0,6.0,0.0,37.0,6.0,178.0,90.0
510000,992.0,17.0,56.0,112.0,8.0,0.0,56.0,4.0,176.0,91.0
520000,992.0,16.0,34.0,108.0,8.0,0.0,57.0,9.0,179.0,95.0
530000,992.0,15.0,25.0,104.0,8.0,0.0,52.0,7.0,182.0,99.0
540000,992.0,13.0,19.0,103.0,7.0,0.0,40.0,9.0,183.0,100.0
550000,992.0,13.0,11.0,99.0,7.0,0.0,42.0,3.0,179.0,104.0
560000,992.0,10.0,9.0,99.0,9.0,0.0,33.0,6.0,174.0,104.0
570000,992.0,8.0,8.0,98.0,11.0,0.0,26.0,6.0,176.0,105.0
580000,992.0,7.0,5.0,97.0,12.0,0.0,23.0,5.0,175.0,106.0
590000,992.0,6.0,3.0,94.0,11.0,0.0,21.0,1.0,176.0,109.0
600000,992.0,16.0,81.0,103.0,10.0,0.0,37.0,4.0,171.0,112.0
610000,992.0,15.0,56.0,100.0,8.0,0.0,48.0,5.0,176.0,115.0
620000,992.0,14.0,34.0,98.0,8.0,0.0,54.0,10.0,149.0,117.0
630000,992.0,14.0,19.0,97.0,7.0,0.0,53.0,9.0,156.0,118.0
640000,992.0,10.0,13.0,93.0,7.0,0.0,43.0,9.0,152.0,122.0
650000,992.0,9.0,12.0,92.0,7.0,0.0,35.0,5.0,153.0,123.0
660000,992.0,8.0,9.0,91.0,8.0,0.0,30.0,2.0,150.0,124.0
670000,992.0,8.0,8.0,89.0,7.0,0.0,24.0,2.0,146.0,126.0
680000,992.0,7.0,5.0,86.0,7.0,0.0,19.0,3.0,145.0,129.0
690000,992.0,7.0,3.0,85.0,6.0,0.0,16.0,5.0,143.0,130.0
700000,992.0,15.0,75.0,94.0,6.0,0.0,40.0,0.0,149.0,134.0
710000,992.0,14.0,51.0,92.0,6.0,0.0,54.0,4.0,144.0,136.0
