meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.02413e-10,0.0,0.0,0.0,0.0,0.0,3.4762238e-10,0.0,0.0,0.0,0.0,0.0
10000,7.9837226e-10,1.3799843e-11,0.0,0.0,2.4912197e-11,0.0,5.4732524e-10,1.7615685e-10,0.0,0.0,3.193552e-10,0.0
20000,8.793635e-10,2.5300222e-11,6.709804e-12,1.3937749e-12,4.7474056e-11,0.0,6.294709e-10,2.3685487e-10,1.5226968e-10,3.162979e-11,4.3200388e-10,0.0
30000,9.165105e-10,3.572845e-11,1.0739383e-11,2.2280875e-12,6.7389455e-11,7.412769e-12,6.8955003e-10,2.8070274e-10,1.9240588e-10,3.9967016e-11,5.1220267e-10,1.4860517e-10
40000,9.612955e-10,4.5702324e-11,1.9021333e-11,3.944651e-12,8.669773e-11,1.4587265e-11,7.3116013e-10,3.1592873e-10,2.5569996e-10,5.3114717e-11,5.7505856e-10,2.08208e-10
50000,1.0027007e-09,6.0801156e-11,2.285348e-11,4.7430198e-12,1.16291886e-10,3.8030475e-11,7.624036e-10,3.6310166e-10,2.8023325e-10,5.8210825e-11,6.6529804e-10,3.3337075e-10
60000,1.0357031e-09,6.364225e-11,2.4845449e-11,5.132528e-12,1.2323066e-10,7.418814e-11,7.924689e-10,3.696935e-10,2.9139618e-10,6.0529116e-11,6.9718625e-10,4.6234572e-10
70000,1.0756138e-09,6.887226e-11,3.3274182e-11,6.839616e-12,1.3296707e-10,9.74727e-11,8.146328e-10,3.8033784e-10,3.3789824e-10,6.984282e-11,7.048226e-10,5.243019e-10
80000,1.1185769e-09,7.39156e-11,1.8784353e-11,3.8441676e-12,1.3506808e-10,1.5870173e-10,8.288622e-10,3.9496437e-10,2.50423e-10,5.2269723e-11,7.3350087e-10,6.6598754e-10
90000,1.1504742e-09,8.1405e-11,3.9583618e-11,8.106925e-12,1.542887e-10,1.6741832e-10,8.536743e-10,4.0767242e-10,3.650211e-10,7.5782054e-11,7.55463e-10,6.7911443e-10
100000,1.1810262e-09,8.373294e-11,1.9234891e-11,3.8328993e-12,1.4863259e-10,2.2299668e-10,8.6646557e-10,4.1245057e-10,2.5115138e-10,5.2102867e-11,7.548591e-10,7.8235096e-10
110000,1.2220672e-09,9.4628666e-11,2.8131948e-11,5.5861843e-12,1.7608669e-10,2.5441418e-10,8.7775753e-10,4.4135842e-10,3.0483963e-10,6.287363e-11,8.27229e-10,8.2625684e-10
120000,1.2594755e-09,9.809075e-11,2.8271128e-11,5.888649e-12,1.750298e-10,2.9056368e-10,8.8904223e-10,4.4161597e-10,3.0585692e-10,6.452076e-11,8.11608e-10,8.6993773e-10
130000,1.2795581e-09,9.582374e-11,2.8495213e-11,6.148054e-12,1.7217602e-10,3.2427425e-10,9.0878405e-10,4.337495e-10,3.0179653e-10,6.531491e-11,8.0308316e-10,9.1306396e-10
140000,1.3055969e-09,1.0351522e-10,3.0429118e-11,6.0161975e-12,1.8147935e-10,3.835294e-10,9.265454e-10,4.4951962e-10,3.130628e-10,6.4915365e-11,8.360103e-10,9.836706e-10
150000,1.3554851e-09,1.019272e-10,2.322891e-11,4.6733273e-12,1.7814449e-10,4.131706e-10,9.312872e-10,4.4307344e-10,2.6939134e-10,5.7111038e-11,8.204266e-10,1.0082347e-09
160000,1.380783e-09,9.772744e-11,3.366153e-11,6.823121e-12,1.7003952e-10,4.6508922e-10,9.429851e-10,4.2988116e-10,3.261113e-10,6.852973e-11,8.0613005e-10,1.0625537e-09
