mcsteps,1,2,3,4,5,6,7,8,9,10
0,996.0,1067.0,949.0,110.0,20.0,0.0,143.0,0.0,0.0,28.0
10000,996.0,996.0,816.0,109.0,46.0,0.0,211.0,24.0,3.0,29.0
20000,996.0,940.0,693.0,109.0,63.0,0.0,275.0,20.0,28.0,29.0
30000,996.0,861.0,598.0,109.0,86.0,0.0,298.0,29.0,55.0,29.0
40000,996.0,785.0,507.0,109.0,108.0,0.0,318.0,39.0,88.0,29.0
50000,996.0,727.0,427.0,109.0,120.0,0.0,336.0,32.0,130.0,29.0
60000,996.0,651.0,362.0,109.0,135.0,0.0,327.0,42.0,168.0,29.0
70000,996.0,586.0,303.0,108.0,151.0,0.0,316.0,39.0,221.0,30.0
80000,996.0,517.0,255.0,108.0,157.0,0.0,305.0,33.0,274.0,30.0
90000,996.0,436.0,213.0,107.0,157.0,0.0,283.0,39.0,317.0,31.0
100000,996.0,432.0,269.0,117.0,153.0,0.0,285.0,37.0,360.0,34.0
110000,996.0,387.0,214.0,117.0,152.0,0.0,299.0,23.0,404.0,34.0
120000,996.0,343.0,180.0,116.0,153.0,0.0,288.0,31.0,435.0,35.0
130000,996.0,303.0,146.0,113.0,148.0,0.0,270.0,33.0,475.0,38.0
140000,996.0,272.0,115.0,113.0,145.0,0.0,262.0,19.0,520.0,38.0
150000,996.0,247.0,98.0,113.0,141.0,0.0,229.0,36.0,545.0,38.0
160000,996.0,225.0,80.0,112.0,133.0,0.0,204.0,30.0,590.0,39.0
170000,996.0,206.0,64.0,112.0,119.0,0.0,185.0,27.0,627.0,39.0
180000,996.0,178.0,57.0,110.0,118.0,0.0,162.0,20.0,661.0,41.0
190000,996.0,152.0,43.0,108.0,105.0,0.0,144.0,20.0,688.0,43.0
200000,996.0,149.0,120.0,117.0,99.0,1.0,143.0,20.0,711.0,47.0
210000,996.0,129.0,97.0,117.0,96.0,1.0,136.0,17.0,737.0,47.0
220000,996.0,111.0,84.0,112.0,90.0,1.0,121.0,22.0,760.0,52.0
230000,996.0,100.0,55.0,112.0,83.0,2.0,128.0,16.0,785.0,52.0
240000,996.0,87.0,39.0,109.0,82.0,2.0,119.0,17.0,806.0,55.0
250000,996.0,83.0,31.0,106.0,73.0,1.0,99.0,18.0,829.0,58.0
260000,996.0,74.0,19.0,104.0,62.0,1.0,90.0,13.0,851.0,60.0
270000,996.0,66.0,11.0,101.0,59.0,1.0,69.0,23.0,867.0,63.0
280000,996.0,62.0,11.0,99.0,49.0,1.0,56.0,8.0,895.0,65.0
290000,996.0,49.0,6.0,97.0,48.0,0.0,54.0,4.0,905.0,67.0
300000,996.0,59.0,79.0,105.0,38.0,0.0,75.0,2.0,913.0,72.0
310000,996.0,57.0,52.0,102.0,32.0,0.0,90.0,10.0,916.0,75.0
320000,996.0,49.0,39.0,100.0,33.0,0.0,84.0,15.0,929.0,77.0
330000,996.0,44.0,27.0,99.0,31.0,0.0,76.0,15.0,948.0,78.0
340000,996.0,37.0,19.0,91.0,27.0,0.0,67.0,14.0,966.0,86.0
350000,996.0,29.0,14.0,91.0,25.0,0.0,59.0,9.0,984.0,86.0
360000,996.0,21.0,9.0,90.0,25.0,0.0,46.0,9.0,1001.0,87.0
370000,996.0,18.0,7.0,89.0,23.0,0.0,41.0,4.0,1012.0,88.0
380000,996.0,17.0,4.0,85.0,17.0,0.0,32.0,8.0,1019.0,92.0
390000,996.0,17.0,2.0,83.0,16.0,0.0,30.0,2.0,1029.0,94.0
400000,995.0,27.0,78.0,93.0,12.0,0.0,44.0,8.0,1033.0,97.0
410000,995.0,27.0,54.0,93.0,9.0,0.0,52.0,7.0,1043.0,97.0
420000,995.0,21.0,33.0,87.0,13.0,0.0,51.0,9.0,1054.0,103.0
430000,995.0,17.0,22.0,85.0,14.0,0.0,47.0,6.0,1044.0,105.0
440000,995.0,17.0,15.0,78.0,12.0,0.0,44.0,3.0,1028.0,112.0
450000,995.0,15.0,12.0,74.0,10.0,0.0,32.0,6.0,1007.0,116.0
460000,995.0,12.0,8.0,69.0,11.0,0.0,28.0,4.0,975.0,121.0
470000,995.0,9.0,7.0,64.0,9.0,0.0,22.0,4.0,943.0,126.0
480000,995.0,7.0,5.0,62.0,8.0,0.0,23.0,0.0,895.0,128.0
490000,995.0,7.0,4.0,58.0,6.0,0.0,17.0,3.0,846.0,132.0
500000,995.0,16.0,81.0,65.0,7.0,0.0,37.0,1.0,808.0,138.0
510000,995.0,15.0,67.0,62.0,7.0,0.0,43.0,6.0,768.0,141.0
520000,995.0,15.0,49.0,60.0,7.0,0.0,51.0,8.0,732.0,143.0
530000,995.0,14.0,36.0,57.0,7.0,0.0,48.0,11.0,713.0,146.0
540000,995.0,14.0,29.0,54.0,7.0,0.0,38.0,8.0,691.0,149.0
550000,995.0,13.0,17.0,48.0,6.0,0.0,38.0,8.0,658.0,155.0
560000,995.0,12.0,13.0,44.0,6.0,0.0,33.0,3.0,646.0,159.0
570000,995.0,9.0,11.0,41.0,6.0,0.0,27.0,6.0,606.0,162.0
580000,995.0,8.0,10.0,38.0,3.0,0.0,26.0,1.0,576.0,165.0
590000,995.0,8.0,6.0,34.0,2.0,0.0,24.0,2.0,546.0,169.0
600000,995.0,18.0,74.0,42.0,2.0,0.0,49.0,3.0,525.0,174.0
610000,995.0,17.0,48.0,41.0,2.0,0.0,55.0,9.0,510.0,175.0
620000,995.0,17.0,37.0,39.0,2.0,0.0,52.0,9.0,497.0,177.0
630000,995.0,16.0,24.0,39.0,3.0,0.0,52.0,4.0,491.0,177.0
640000,995.0,13.0,19.0,38.0,5.0,0.0,43.0,7.0,476.0,178.0
650000,995.0,7.0,15.0,34.0,7.0,0.0,33.0,7.0,467.0,182.0
660000,995.0,7.0,7.0,30.0,5.0,0.0,26.0,9.0,456.0,186.0
670000,995.0,6.0,6.0,26.0,4.0,0.0,20.0,4.0,446.0,190.0
680000,995.0,6.0,3.0,25.0,4.0,0.0,17.0,0.0,439.0,191.0
690000,995.0,5.0,1.0,23.0,2.0,0.0,12.0,4.0,414.0,193.0
700000,995.0,14.0,68.0,31.0,3.0,0.0,41.0,4.0,408.0,198.0
710000,995.0,14.0,47.0,28.0,3.0,0.0,49.0,7.0,408.0,201.0
720000,995.0,13.0,31.0,25.0,2.0,0.0,50.0,5.0,421.0,204.0
730000,995.0,13.0,16.0,23.0,2.0,0.0,55.0,6.0,417.0,206.0
740000,995.0,12.0,11.0,22.0,3.0,0.0,47.0,9.0,408.0,207.0
750000,995.0,12.0,9.0,20.0,1.0,0.0,41.0,4.0,403.0,209.0
760000,995.0,10.0,7.0,20.0,3.0,0.0,35.0,3.0,394.0,209.0
770000,995.0,9.0,6.0,20.0,3.0,0.0,29.0,2.0,385.0,209.0
780000,995.0,8.0,5.0,19.0,3.0,0.0,22.0,6.0,378.0,210.0
790000,995.0,8.0,3.0,17.0,2.0,0.0,19.0,3.0,379.0,212.0
800000,995.0,14.0,77.0,26.0,6.0,0.0,40.0,4.0,373.0,216.0
810000,995.0,13.0,53.0,25.0,6.0,0.0,52.0,3.0,380.0,217.0
820000,995.0,12.0,40.0,23.0,6.0,0.0,48.0,7.0,380.0,219.0
830000,995.0,10.0,30.0,23.0,8.0,0.0,47.0,4.0,377.0,219.0
840000,995.0,10.0,22.0,21.0,7.0,0.0,42.0,4.0,375.0,221.0
850000,995.0,8.0,17.0,20.0,8.0,0.0,35.0,7.0,373.0,222.0
860000,995.0,6.0,12.0,18.0,6.0,0.0,29.0,8.0,371.0,224.0
870000,995.0,6.0,7.0,16.0,5.0,0.0,27.0,2.0,373.0,226.0
880000,995.0,5.0,6.0,14.0,5.0,0.0,17.0,7.0,372.0,228.0
890000,995.0,3.0,5.0,12.0,5.0,0.0,14.0,1.0,376.0,230.0
900000,993.0,12.0,72.0,21.0,6.0,0.0,46.0,1.0,373.0,234.0
910000,993.0,11.0,51.0,20.0,7.0,0.0,43.0,7.0,379.0,235.0
920000,993.0,8.0,33.0,20.0,9.0,0.0,51.0,4.0,388.0,235.0
930000,993.0,5.0,26.0,19.0,11.0,0.0,46.0,8.0,389.0,236.0
940000,993.0,3.0,19.0,17.0,11.0,0.0,37.0,7.0,394.0,238.0
950000,993.0,3.0,13.0,15.0,10.0,0.0,31.0,9.0,384.0,240.0
960000,993.0,3.0,10.0,14.0,9.0,0.0,24.0,2.0,389.0,241.0
970000,993.0,3.0,5.0,12.0,8.0,0.0,24.0,2.0,379.0,243.0
980000,993.0,3.0,5.0,10.0,8.0,0.0,21.0,2.0,377.0,245.0
990000,993.0,3.0,4.0,8.0,7.0,0.0,14.0,4.0,376.0,247.0
1000000,992.0,11.0,75.0,17.0,9.0,0.0,42.0,0.0,377.0,251.0
