mcsteps,xCOM,yCOM,zCOM,il8,il1,il6,il10,tnf,tgf
420000,188,57,0,3.6331118e-09,5.5450796e-12,3.5295172e-18,1.4858671e-29,2.053045e-23,6.3794536e-10
420000,60,87,0,2.887945e-09,1.2627241e-10,1.2223164e-17,1.7551612e-28,2.7945642e-13,6.2250316e-10
420000,284,319,0,3.2658607e-09,4.168274e-13,1.5975868e-34,0.0,3.3704262e-29,3.0380153e-11
420000,116,216,0,4.404584e-09,3.925654e-11,2.394463e-12,1.4277893e-15,7.18e-12,4.536814e-11
420000,289,167,0,3.1797138e-09,9.3427375e-12,2.6142856e-27,1e-45,8.496536e-22,1.0058977e-10
420000,200,229,0,2.6398281e-09,3.2993397e-21,0.0,0.0,0.0,7.611362e-11
420000,242,216,0,3.0957494e-09,3.8600325e-12,8.578172e-27,8.566e-42,9.828405e-22,5.1498052e-11
420000,445,105,0,2.6433253e-09,2.0783245e-11,7.191041e-11,1.6095301e-12,1.3219535e-13,1.9750794e-10
420000,218,205,0,3.0234293e-09,9.832518e-13,2.526192e-33,0.0,1.2912326e-21,1.9658497e-11
420000,255,358,0,2.2095146e-09,9.129703e-12,1.2882378e-23,1.307861e-39,1.4337168e-20,2.8402689e-10
420000,233,342,0,2.7862537e-09,2.7270872e-12,3.0221279e-30,0.0,3.810242e-23,2.603059e-10
420000,198,365,0,3.3111416e-09,1.943132e-11,5.844716e-20,1.4982683e-30,3.7398546e-17,3.2641438e-11
420000,367,174,0,3.1337597e-09,6.141128e-11,2.4800303e-13,1.867399e-18,7.9050265e-13,2.5616462e-10
420000,319,145,0,2.619249e-09,1.2519079e-11,2.577786e-21,6.05404e-32,2.3671207e-16,6.739739e-11
420000,430,209,0,2.4827318e-09,3.8434565e-11,2.430984e-16,1.6658747e-24,1.1565441e-16,1.5959672e-10
420000,61,351,0,2.4247258e-09,6.26818e-11,3.1412284e-20,3.809217e-31,2.7862471e-15,2.2303043e-10
