meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.002128e-10,0.0,0.0,0.0,0.0,0.0,3.42449e-10,0.0,0.0,0.0,0.0,0.0
10000,8.01363e-10,9.443608e-12,0.0,0.0,1.6818226e-11,0.0,5.402545e-10,1.4498677e-10,0.0,0.0,2.6260313e-10,0.0
20000,8.6967006e-10,2.2349522e-11,1.34369104e-11,2.775291e-12,4.4151495e-11,0.0,6.236525e-10,2.2220893e-10,2.1453876e-10,4.4558995e-11,4.0818102e-10,0.0
30000,9.1573366e-10,2.879721e-11,6.4683857e-12,1.3394514e-12,5.331165e-11,2.0414151e-11,6.79863e-10,2.5176913e-10,1.4926947e-10,3.1006333e-11,4.5852458e-10,2.4612454e-10
40000,9.716765e-10,4.423594e-11,1.4943772e-11,3.1037711e-12,8.3732694e-11,9.539937e-12,7.158963e-10,3.1120265e-10,2.2695709e-10,4.714403e-11,5.6829613e-10,1.6597843e-10
50000,1.0219288e-09,5.470946e-11,2.1608897e-11,4.4346003e-12,1.0331572e-10,1.6607502e-11,7.4634704e-10,3.4385272e-10,2.70656e-10,5.6193657e-11,6.273216e-10,2.2160451e-10
60000,1.0870996e-09,6.36144e-11,1.7466256e-11,3.606262e-12,1.1692686e-10,1.5543853e-11,7.675586e-10,3.6954295e-10,2.445168e-10,5.0790098e-11,6.710181e-10,2.1133283e-10
70000,1.0956205e-09,7.0986744e-11,2.565683e-11,5.2664505e-12,1.3131037e-10,2.6657166e-11,8.015117e-10,3.8869188e-10,2.9478678e-10,6.120238e-11,7.0563716e-10,2.7507494e-10
80000,1.1752704e-09,7.564213e-11,3.2483818e-11,6.7538583e-12,1.3999324e-10,2.9392187e-11,8.068402e-10,3.9820666e-10,3.306293e-10,6.9168546e-11,7.2373657e-10,2.885453e-10
90000,1.2299937e-09,6.60806e-11,3.4983474e-11,7.318055e-12,1.2495772e-10,7.413445e-11,8.2004575e-10,3.6821732e-10,3.3924388e-10,7.172955e-11,6.843051e-10,4.5966572e-10
100000,1.2784958e-09,7.7117035e-11,2.7058532e-11,5.548881e-12,1.4135054e-10,5.6988126e-11,8.3266694e-10,3.9745585e-10,3.028039e-10,6.2874005e-11,7.301474e-10,4.0054676e-10
110000,1.3133967e-09,8.3842995e-11,2.7280303e-11,5.567503e-12,1.5212683e-10,6.766865e-11,8.5156693e-10,4.1574086e-10,3.0292927e-10,6.2876135e-11,7.7116763e-10,4.3711565e-10
