mcsteps,1,2,3,4,5,6,7,8,9,10
0,994.0,1060.0,947.0,110.0,28.0,0.0,138.0,0.0,0.0,28.0
10000,994.0,976.0,806.0,110.0,52.0,0.0,213.0,18.0,3.0,28.0
20000,994.0,880.0,692.0,110.0,81.0,0.0,276.0,19.0,21.0,28.0
30000,994.0,815.0,584.0,110.0,93.0,0.0,312.0,38.0,20.0,28.0
40000,994.0,747.0,490.0,110.0,109.0,0.0,342.0,28.0,61.0,28.0
50000,994.0,680.0,423.0,110.0,124.0,0.0,342.0,40.0,73.0,28.0
60000,994.0,619.0,354.0,110.0,131.0,0.0,345.0,34.0,83.0,28.0
70000,994.0,564.0,299.0,110.0,137.0,0.0,336.0,36.0,92.0,28.0
80000,994.0,493.0,240.0,110.0,145.0,0.0,322.0,39.0,137.0,28.0
90000,994.0,434.0,200.0,110.0,143.0,0.0,301.0,40.0,131.0,28.0
100000,994.0,429.0,262.0,119.0,143.0,0.0,293.0,38.0,137.0,32.0
110000,994.0,404.0,220.0,119.0,138.0,0.0,288.0,31.0,134.0,32.0
120000,994.0,356.0,185.0,119.0,149.0,0.0,265.0,36.0,173.0,32.0
130000,994.0,331.0,156.0,119.0,150.0,0.0,244.0,34.0,174.0,32.0
140000,994.0,307.0,133.0,118.0,144.0,2.0,222.0,29.0,169.0,33.0
150000,994.0,275.0,103.0,118.0,147.0,3.0,207.0,31.0,203.0,33.0
160000,994.0,243.0,76.0,117.0,141.0,4.0,195.0,28.0,195.0,34.0
170000,994.0,216.0,60.0,117.0,132.0,2.0,177.0,18.0,194.0,34.0
180000,994.0,188.0,46.0,117.0,120.0,1.0,163.0,18.0,174.0,34.0
190000,994.0,161.0,40.0,116.0,112.0,1.0,149.0,11.0,198.0,35.0
200000,993.0,163.0,117.0,124.0,95.0,1.0,147.0,22.0,170.0,39.0
210000,993.0,146.0,92.0,123.0,92.0,0.0,150.0,16.0,162.0,40.0
220000,993.0,131.0,73.0,123.0,84.0,0.0,147.0,14.0,183.0,40.0
230000,993.0,114.0,64.0,122.0,81.0,0.0,128.0,22.0,167.0,41.0
240000,993.0,104.0,50.0,121.0,72.0,0.0,111.0,18.0,158.0,42.0
250000,993.0,87.0,37.0,120.0,67.0,0.0,106.0,8.0,183.0,43.0
260000,993.0,76.0,32.0,120.0,67.0,0.0,93.0,12.0,169.0,43.0
