mcsteps,1,2,3,4,5,6,7,8,9,10
0,994.0,1064.0,941.0,110.0,24.0,0.0,153.0,0.0,0.0,28.0
10000,994.0,973.0,789.0,110.0,53.0,0.0,240.0,19.0,2.0,28.0
20000,994.0,877.0,658.0,110.0,76.0,0.0,291.0,35.0,24.0,28.0
30000,994.0,805.0,562.0,110.0,92.0,1.0,335.0,24.0,62.0,28.0
40000,994.0,740.0,470.0,110.0,100.0,1.0,362.0,39.0,87.0,28.0
50000,994.0,679.0,384.0,108.0,111.0,1.0,374.0,46.0,136.0,30.0
60000,994.0,605.0,314.0,108.0,122.0,1.0,371.0,45.0,187.0,30.0
70000,994.0,548.0,259.0,108.0,132.0,1.0,362.0,39.0,240.0,30.0
80000,994.0,484.0,224.0,107.0,148.0,1.0,338.0,36.0,290.0,31.0
90000,994.0,435.0,173.0,107.0,153.0,1.0,324.0,39.0,333.0,31.0
100000,994.0,421.0,242.0,117.0,159.0,1.0,306.0,40.0,381.0,34.0
110000,994.0,383.0,194.0,117.0,173.0,0.0,297.0,33.0,429.0,34.0
120000,994.0,355.0,160.0,116.0,163.0,0.0,280.0,29.0,475.0,35.0
130000,994.0,325.0,130.0,116.0,158.0,1.0,265.0,27.0,515.0,35.0
140000,994.0,299.0,96.0,114.0,151.0,1.0,245.0,33.0,552.0,37.0
150000,994.0,269.0,75.0,114.0,145.0,1.0,227.0,24.0,597.0,37.0
160000,994.0,243.0,58.0,114.0,132.0,1.0,199.0,28.0,628.0,37.0
170000,994.0,222.0,49.0,114.0,129.0,1.0,176.0,23.0,662.0,37.0
180000,994.0,194.0,43.0,113.0,114.0,0.0,150.0,24.0,692.0,38.0
190000,994.0,165.0,36.0,112.0,102.0,0.0,128.0,21.0,723.0,39.0
200000,994.0,163.0,102.0,120.0,96.0,1.0,142.0,17.0,746.0,44.0
210000,994.0,154.0,74.0,119.0,93.0,1.0,133.0,26.0,767.0,45.0
220000,994.0,134.0,60.0,119.0,98.0,1.0,123.0,19.0,797.0,45.0
230000,994.0,116.0,51.0,116.0,99.0,1.0,111.0,12.0,823.0,48.0
240000,994.0,106.0,39.0,115.0,87.0,2.0,103.0,11.0,841.0,49.0
250000,994.0,93.0,32.0,113.0,86.0,2.0,91.0,12.0,858.0,51.0
260000,994.0,84.0,22.0,111.0,77.0,2.0,84.0,11.0,872.0,53.0
270000,994.0,69.0,15.0,105.0,74.0,2.0,69.0,13.0,890.0,59.0
280000,994.0,59.0,13.0,102.0,68.0,1.0,57.0,8.0,908.0,62.0
290000,994.0,51.0,13.0,100.0,56.0,1.0,51.0,2.0,920.0,64.0
300000,994.0,53.0,95.0,107.0,51.0,0.0,57.0,10.0,924.0,70.0
310000,994.0,50.0,80.0,105.0,49.0,0.0,59.0,7.0,938.0,72.0
320000,994.0,46.0,63.0,99.0,45.0,0.0,63.0,6.0,949.0,78.0
330000,994.0,45.0,51.0,93.0,38.0,0.0,60.0,8.0,958.0,84.0
340000,994.0,42.0,39.0,91.0,37.0,0.0,58.0,4.0,973.0,86.0
350000,994.0,40.0,31.0,90.0,32.0,0.0,54.0,8.0,980.0,87.0
360000,994.0,34.0,24.0,88.0,30.0,0.0,53.0,4.0,991.0,89.0
370000,994.0,30.0,18.0,83.0,29.0,0.0,43.0,11.0,998.0,94.0
380000,994.0,29.0,17.0,80.0,21.0,0.0,34.0,8.0,1011.0,97.0
390000,994.0,25.0,14.0,77.0,18.0,0.0,31.0,3.0,1021.0,100.0
400000,993.0,31.0,86.0,85.0,19.0,0.0,53.0,3.0,1026.0,105.0
410000,993.0,28.0,67.0,82.0,19.0,0.0,60.0,7.0,1034.0,108.0
420000,993.0,26.0,51.0,78.0,20.0,0.0,60.0,10.0,1044.0,112.0
430000,993.0,25.0,36.0,75.0,19.0,0.0,63.0,8.0,1058.0,115.0
440000,993.0,20.0,24.0,73.0,20.0,0.0,60.0,7.0,1072.0,117.0
450000,993.0,18.0,20.0,71.0,19.0,0.0,53.0,3.0,1085.0,119.0
460000,993.0,16.0,16.0,68.0,18.0,0.0,46.0,7.0,1090.0,122.0
470000,993.0,14.0,12.0,68.0,18.0,0.0,43.0,5.0,1098.0,122.0
480000,993.0,12.0,6.0,63.0,15.0,0.0,40.0,4.0,1105.0,127.0
490000,993.0,11.0,4.0,61.0,13.0,0.0,31.0,6.0,1114.0,129.0
500000,993.0,20.0,76.0,69.0,11.0,0.0,52.0,2.0,1125.0,134.0
510000,993.0,19.0,56.0,62.0,12.0,0.0,58.0,10.0,1128.0,141.0
520000,993.0,19.0,32.0,61.0,10.0,0.0,65.0,5.0,1145.0,142.0
530000,993.0,16.0,23.0,60.0,9.0,0.0,62.0,8.0,1153.0,143.0
540000,993.0,14.0,20.0,60.0,10.0,0.0,49.0,9.0,1168.0,143.0
550000,993.0,10.0,16.0,56.0,13.0,0.0,41.0,8.0,1181.0,147.0
560000,993.0,8.0,12.0,52.0,13.0,0.0,38.0,3.0,1192.0,151.0
570000,993.0,7.0,9.0,46.0,13.0,0.0,28.0,5.0,1201.0,157.0
580000,993.0,5.0,5.0,44.0,8.0,0.0,26.0,1.0,1211.0,159.0
590000,993.0,5.0,3.0,42.0,7.0,0.0,23.0,2.0,1215.0,161.0
600000,993.0,14.0,77.0,51.0,7.0,0.0,45.0,3.0,1218.0,165.0
610000,993.0,12.0,59.0,47.0,7.0,0.0,44.0,10.0,1227.0,169.0
620000,993.0,11.0,33.0,43.0,7.0,0.0,54.0,9.0,1240.0,173.0
630000,993.0,10.0,21.0,40.0,6.0,0.0,52.0,5.0,1255.0,176.0
640000,993.0,8.0,12.0,39.0,7.0,0.0,50.0,6.0,1264.0,177.0
650000,993.0,7.0,11.0,37.0,7.0,0.0,39.0,4.0,1277.0,179.0
660000,993.0,6.0,7.0,34.0,7.0,0.0,28.0,7.0,1288.0,182.0
670000,993.0,5.0,6.0,33.0,7.0,0.0,23.0,4.0,1297.0,183.0
680000,993.0,5.0,3.0,32.0,6.0,0.0,23.0,2.0,1302.0,184.0
690000,993.0,5.0,2.0,30.0,6.0,0.0,20.0,2.0,1306.0,186.0
700000,993.0,15.0,76.0,34.0,3.0,0.0,38.0,4.0,1311.0,194.0
710000,993.0,15.0,52.0,31.0,3.0,0.0,52.0,4.0,1318.0,197.0
720000,993.0,11.0,40.0,29.0,5.0,0.0,46.0,6.0,1332.0,199.0
730000,993.0,10.0,32.0,25.0,5.0,0.0,44.0,3.0,1344.0,203.0
740000,993.0,10.0,23.0,22.0,4.0,0.0,40.0,7.0,1350.0,206.0
750000,993.0,9.0,14.0,21.0,5.0,0.0,30.0,8.0,1364.0,207.0
760000,993.0,6.0,10.0,17.0,5.0,0.0,29.0,1.0,1375.0,211.0
770000,993.0,6.0,6.0,17.0,2.0,0.0,27.0,3.0,1378.0,211.0
780000,993.0,6.0,3.0,14.0,2.0,0.0,17.0,5.0,1388.0,214.0
790000,993.0,5.0,3.0,11.0,2.0,0.0,14.0,2.0,1394.0,217.0
800000,993.0,15.0,79.0,20.0,2.0,0.0,36.0,0.0,1397.0,221.0
810000,993.0,12.0,54.0,18.0,3.0,0.0,50.0,2.0,1403.0,223.0
820000,993.0,9.0,37.0,17.0,5.0,0.0,57.0,2.0,1411.0,224.0
830000,993.0,5.0,24.0,17.0,5.0,0.0,54.0,7.0,1417.0,224.0
840000,993.0,5.0,12.0,16.0,5.0,0.0,52.0,3.0,1433.0,225.0
850000,993.0,4.0,9.0,15.0,6.0,0.0,45.0,7.0,1439.0,226.0
860000,993.0,4.0,4.0,14.0,6.0,0.0,39.0,5.0,1451.0,227.0
870000,993.0,4.0,3.0,13.0,6.0,0.0,27.0,6.0,1463.0,228.0
880000,993.0,4.0,3.0,11.0,6.0,0.0,22.0,1.0,1473.0,230.0
890000,993.0,4.0,2.0,11.0,3.0,0.0,14.0,2.0,1480.0,230.0
900000,991.0,13.0,71.0,19.0,3.0,0.0,43.0,1.0,1482.0,235.0
910000,991.0,12.0,54.0,19.0,1.0,0.0,42.0,10.0,1488.0,235.0
920000,991.0,12.0,42.0,18.0,1.0,0.0,44.0,2.0,1505.0,236.0
930000,991.0,12.0,33.0,16.0,1.0,0.0,44.0,6.0,1510.0,238.0
