meanconcen,il8mean,il1mean,il6mean,il10mean,tnfmean,tgfmean,il8std,il1std,il6std,il10std,tnfstd,tgfstd
0,7.019647e-10,0.0,0.0,0.0,0.0,0.0,3.445566e-10,0.0,0.0,0.0,0.0,0.0
10000,8.017268e-10,7.743211e-12,0.0,0.0,1.3933772e-11,0.0,5.4359084e-10,1.319238e-10,0.0,0.0,2.3915722e-10,0.0
20000,8.735459e-10,1.628692e-11,6.7959085e-12,1.3958476e-12,3.146435e-11,0.0,6.283796e-10,1.9072528e-10,1.522131e-10,3.1609614e-11,3.4925354e-10,0.0
30000,9.337783e-10,3.6403595e-11,1.7486321e-11,3.6322618e-12,7.0837766e-11,9.436603e-12,6.8100364e-10,2.8322297e-10,2.454299e-10,5.098122e-11,5.1908433e-10,1.6765461e-10
40000,9.725902e-10,4.9648927e-11,1.9213256e-11,3.9723927e-12,9.477093e-11,2.0173665e-11,7.207702e-10,3.2956513e-10,2.5649782e-10,5.3276338e-11,6.0200095e-10,2.4462943e-10
50000,1.0203408e-09,5.986784e-11,1.5149883e-11,3.0924896e-12,1.1309987e-10,4.4247987e-11,7.5440304e-10,3.575712e-10,2.2610953e-10,4.6929995e-11,6.616741e-10,3.593304e-10
60000,1.0527731e-09,7.715116e-11,3.3682234e-11,6.959752e-12,1.481447e-10,7.516722e-11,7.8549756e-10,4.0486123e-10,3.3575076e-10,7.019566e-11,7.444587e-10,4.6553097e-10
70000,1.0903193e-09,8.6183984e-11,1.5221324e-11,3.056419e-12,1.6235753e-10,1.14793786e-10,8.067947e-10,4.240798e-10,2.2411711e-10,4.6459003e-11,7.912782e-10,5.7111615e-10
80000,1.1366046e-09,9.5965756e-11,2.5231435e-11,5.190325e-12,1.7639064e-10,1.3556743e-10,8.219917e-10,4.4811957e-10,2.9272948e-10,6.078269e-11,8.183982e-10,6.1589644e-10
90000,1.1639492e-09,8.535164e-11,2.3757923e-11,4.760856e-12,1.6137902e-10,1.8773048e-10,8.4382157e-10,4.211453e-10,2.7942496e-10,5.7943754e-11,7.9577156e-10,7.2430567e-10
100000,1.2073001e-09,8.893525e-11,2.8239742e-11,5.6678785e-12,1.6434928e-10,2.2044674e-10,8.5985935e-10,4.2675538e-10,3.0476413e-10,6.321228e-11,7.878801e-10,7.7346646e-10
110000,1.2158421e-09,1.0106322e-10,4.119775e-11,8.420174e-12,1.8891466e-10,2.6171626e-10,8.814777e-10,4.5212425e-10,3.7197356e-10,7.721299e-11,8.364525e-10,8.2954466e-10
120000,1.2542023e-09,9.7997985e-11,2.7848166e-11,5.5465237e-12,1.8114656e-10,3.1846878e-10,8.925886e-10,4.47326e-10,3.013262e-10,6.236694e-11,8.4906093e-10,9.1184854e-10
130000,1.2827733e-09,1.05021505e-10,3.587041e-11,7.2354974e-12,1.8941387e-10,3.6935202e-10,9.091217e-10,4.5861093e-10,3.410906e-10,7.1059096e-11,8.4040475e-10,9.740544e-10
140000,1.3188866e-09,1.0900884e-10,2.4526011e-11,5.0229287e-12,1.9432447e-10,4.1671544e-10,9.1634306e-10,4.6352272e-10,2.793441e-10,5.908898e-11,8.5629803e-10,1.0233564e-09
150000,1.353018e-09,1.15009745e-10,2.1209189e-11,4.2374194e-12,2.041085e-10,4.4514217e-10,9.2852664e-10,4.7133775e-10,2.6391592e-10,5.4797507e-11,8.78895e-10,1.048798e-09
160000,1.3784189e-09,1.0697815e-10,2.3538374e-11,4.6919083e-12,1.8753468e-10,4.957395e-10,9.473985e-10,4.5276172e-10,2.767586e-10,5.7449902e-11,8.551782e-10,1.0967721e-09
170000,1.4268091e-09,1.0844338e-10,2.2822948e-11,4.6212274e-12,1.9026057e-10,5.3151683e-10,9.533232e-10,4.523751e-10,2.6675798e-10,5.6217666e-11,8.4454943e-10,1.1225325e-09
180000,1.4567805e-09,1.0794588e-10,2.9798945e-11,6.034828e-12,1.8286024e-10,5.772926e-10,9.68607e-10,4.4963802e-10,3.0756517e-10,6.471505e-11,8.2599194e-10,1.1666871e-09
190000,1.5095832e-09,9.9960505e-11,2.2865024e-11,4.412658e-12,1.7056294e-10,6.028399e-10,9.633574e-10,4.3399281e-10,2.6807725e-10,5.562321e-11,8.258912e-10,1.1808798e-09
